DATE,ADJ_ALL,EVT_TOTAL,ALL_REV_DELTA,ADJ_PURCHASE,EVT_PURCHASE,PURCHASE_DELTA
2025-08-14,35210.605,43457.72,-8247.114999999998,35210.605,35410.62,-200.01499999999942
2025-08-13,33889.358,42257.030000000006,-8367.672000000006,33889.358,33606.25,283.1080000000002
2025-08-12,33613.182,42524.82,-8911.637999999999,33613.182,33675.16,-61.978000000002794
2025-08-11,33384.28,42219.490000000005,-8835.210000000006,33384.28,33074.03,310.25
2025-08-10,30173.016,38492.49,-8319.473999999998,30173.016,30396.370000000003,-223.354000000003
2025-08-09,30795.954999999998,39403.25,-8607.295000000002,30795.954999999998,31465.89,-669.9350000000013
2025-08-08,37235.361,46787.590000000004,-9552.229000000007,37235.361,37131.95,103.41100000000006
2025-08-07,35088.357,44946.869999999995,-9858.512999999992,35088.357,34897.06,191.29700000000594
2025-08-06,30193.620000000003,39208.49,-9014.869999999995,30193.620000000003,29426.36,767.260000000002
2025-08-05,31973.638,41449.87,-9476.232000000004,31973.638,31621.729999999996,351.9080000000031
2025-08-04,37678.707,49614.119999999995,-11935.412999999993,37678.707,36931.159999999996,747.5470000000059
2025-08-03,36803.731999999996,50595.4,-13791.668000000005,36803.731999999996,36523.73,280.00199999999313
2025-08-02,41729.032999999996,57519.920000000006,-15790.88700000001,41729.032999999996,42311.990000000005,-582.9570000000094
2025-08-01,42269.538,57697.899999999994,-15428.361999999994,42269.538,42774.38,-504.8419999999969
2025-07-31,47679.216,54850.72,-7171.504000000001,47679.216,47010.310000000005,668.9059999999954
2025-07-30,39787.106,44843.89,-5056.784,39787.106,39006.94,780.1659999999974
2025-07-29,26228.48,35354.14,-9125.66,26228.48,25989.5,238.97999999999956
2025-07-28,27247.196,37652.409999999996,-10405.213999999996,27247.196,26840.67,406.52600000000166
2025-07-27,28192.154,41417.03,-13224.876,28192.154,27746.71,445.4439999999995
2025-07-26,36859.234000000004,47335.299999999996,-10476.065999999992,36859.234000000004,37618.59,-759.3559999999925
2025-07-25,52613.770000000004,62868.71000000001,-10254.940000000002,52613.770000000004,52589.64,24.130000000004657
2025-07-24,64192.728,73237.9,-9045.171999999991,64192.728,63407.62,785.1080000000002
2025-07-23,31584.971,39774.259999999995,-8189.288999999993,31584.971,31403.910000000003,181.06099999999788
2025-07-22,35575.608,44584.46,-9008.851999999999,35575.608,35533.45,42.158000000003085
2025-07-21,36907.438,47455.259999999995,-10547.821999999993,36907.438,35756.43,1151.0080000000016
2025-07-20,27502.305000000004,43365.57,-15863.264999999996,27502.305000000004,27553.950000000004,-51.64500000000044
2025-07-19,32070.465,50408.90999999999,-18338.44499999999,32070.465,32240.620000000003,-170.15500000000247
2025-07-18,31673.318000000003,46828.93,-15155.611999999997,31673.318000000003,31804.840000000004,-131.52200000000084
2025-07-17,29829.235000000004,38044.57,-8215.334999999995,29829.235000000004,30227.1,-397.8649999999943
2025-07-16,28924.542,37033.73,-8109.188000000002,28924.542,29382.93,-458.387999999999
2025-07-15,33372.313,40978.95,-7606.636999999995,33372.313,33350.380000000005,21.932999999997264
2025-07-14,34423.116,41957.9,-7534.784,34423.116,34018.21,404.9060000000027
