DATE,API_INSTALLS,S3_INSTALLS,DELTA,PCT_DELTA
2025-05-24,10844,5600,5244,0.483585392843969
2025-05-23,10251,5446,4805,0.4687347575846259
2025-05-22,10404,5380,5024,0.4828911956939639
2025-05-21,10683,5526,5157,0.4827295703454086
2025-05-20,10855,5514,5341,0.4920313219714417
2025-05-19,10426,5875,4551,0.4365048916171111
2025-05-18,11167,5987,5180,0.4638667502462613
2025-05-17,10820,5611,5209,0.4814232902033272
2025-05-16,9696,5157,4539,0.4681311881188119
2025-05-15,9872,5074,4798,0.4860210696920583
2025-05-14,9564,5069,4495,0.46999163529903804
2025-05-13,9667,5248,4419,0.4571221682010965
2025-05-12,9201,5191,4010,0.4358221932398652
2025-05-11,10575,5525,5050,0.47754137115839246
2025-05-10,10013,5270,4743,0.47368421052631576
2025-05-09,9201,5019,4182,0.45451581349853276
2025-05-08,8631,4659,3972,0.46020159888773027
2025-05-07,8659,4633,4026,0.46494976325210763
2025-05-06,9247,4991,4256,0.46025738077214234
2025-05-05,9685,5273,4412,0.4555498193082086
2025-05-04,10742,5549,5193,0.48342952895177804
2025-05-03,10313,4947,5366,0.5203141665858625
2025-05-02,9595,4763,4832,0.5035956227201668
2025-05-01,9708,5010,4698,0.48393077873918416
2025-04-30,10068,5109,4959,0.49255065554231225
2025-04-29,10010,5088,4922,0.4917082917082917
2025-04-28,10153,4999,5154,0.507633211858564
2025-04-27,11001,5518,5483,0.49840923552404326
2025-04-26,10956,5363,5593,0.5104965315808689
2025-04-25,10558,5185,5373,0.5089032013638947
2025-04-24,10329,5335,4994,0.483493077742279
2025-04-23,10294,5383,4911,0.477074023703128
2025-04-22,10670,5964,4706,0.44104967197750705
2025-04-21,11362,6506,4856,0.4273895440943496
2025-04-20,12714,7496,5218,0.41041371716218344
2025-04-19,11500,6634,4866,0.4231304347826087
2025-04-18,12446,6905,5541,0.4452032781616584
2025-04-17,11702,6482,5220,0.4460775935737481
2025-04-16,11319,6266,5053,0.4464175280501811
2025-04-15,11682,6535,5147,0.4405923643211779
2025-04-14,11446,6668,4778,0.417438406430194
2025-04-13,11884,6565,5319,0.44757657354426117
2025-04-12,10690,5555,5135,0.480355472404116
2025-04-11,9469,4910,4559,0.48146583588552117
2025-04-10,8677,4343,4334,0.4994813875763513
2025-04-09,8227,4122,4105,0.4989668165795551
2025-04-08,8257,4402,3855,0.46687658956037303
2025-04-07,7900,4204,3696,0.46784810126582277
2025-04-06,9337,4936,4401,0.4713505408589483
2025-04-05,8842,4464,4378,0.4951368468672246
2025-04-04,7670,4022,3648,0.475619295958279
2025-04-03,7972,4304,3668,0.46011038635223284
2025-04-02,8074,4257,3817,0.47275204359673023
2025-04-01,7897,4176,3721,0.4711915917437001
2025-03-31,8386,4466,3920,0.4674457429048414
2025-03-30,9555,5127,4428,0.4634222919937206
2025-03-29,8850,4438,4412,0.4985310734463277
2025-03-28,8107,4148,3959,0.48834340693228073
2025-03-27,7710,4130,3580,0.46433203631647213
2025-03-26,7435,3845,3590,0.4828513786146604
2025-03-25,7586,3861,3725,0.4910361191668864
2025-03-24,7888,4175,3713,0.47071501014198786
2025-03-23,9219,4781,4438,0.48139711465451784
2025-03-22,8775,4521,4254,0.4847863247863248
2025-03-21,8136,4223,3913,0.4809488692232055
2025-03-20,7514,3942,3572,0.47537929198828854
2025-03-19,7431,3973,3458,0.46534786704346653
2025-03-18,7581,3984,3597,0.4744756628413138
2025-03-17,8155,4325,3830,0.4696505211526671
2025-03-16,8729,4838,3891,0.4457555275518387
2025-03-15,8512,4477,4035,0.47403665413533835
2025-03-14,7400,3805,3595,0.4858108108108108
