DATE,EXEC_TOTAL,EXEC_PURCHASE,EXEC_D7,BIZ_TOTAL,PLAT_TOTAL,MMM_ALL,DESKTOP_WEB_REVENUE_DELTA
2025-07-22,35725.779,35725.779,1815.76,56654.44,56654.44,35575.608,20928.661
2025-07-21,37155.58399999999,37155.58399999999,1708.23,62095.61,62095.61,36907.438,24940.026000000013
2025-07-20,27621.410000000003,27621.410000000003,2238.85,54075.549999999996,54075.55,27502.304999999997,26454.139999999992
2025-07-19,32239.480000000003,32239.480000000003,2094.12,62117.170000000006,62117.16999999999,32070.464999999997,29877.690000000002
2025-07-18,31778.639999999996,31778.639999999996,2928.28,57566.450000000004,57566.450000000004,31673.318,25787.81000000001
2025-07-17,29873.268000000004,29873.268000000004,2417.3799999999997,50464.5,50464.5,29829.235,20591.231999999996
2025-07-16,29054.727000000006,29054.727000000006,1938.14,47305.75000000001,47305.75,28924.542,18251.023
2025-07-15,33453.915,33453.915,1652.69,50875.560000000005,50875.560000000005,33372.313,17421.645000000004
2025-07-14,34642.437000000005,34642.437000000005,1891.69,53033.39,53033.39,34423.116,18390.952999999994
2025-07-13,32104.453,32104.453,1708.0100000000002,48749.10999999999,48749.11,32061.512999999995,16644.656999999992
2025-07-12,34587.94,34587.94,2150.22,53811.62,53811.619999999995,34389.822,19223.68
2025-07-11,38458.799,38458.799,1425.25,60865.409999999996,60865.41,38145.319,22406.610999999997
2025-07-10,37989.719999999994,37989.719999999994,995.6700000000002,60348.08,60348.08,37609.993,22358.360000000008
2025-07-09,29760.966,29760.966,1193.3800000000003,48834.49,48834.49,29570.342,19073.523999999998
2025-07-08,33169.59900000001,33169.59900000001,1802.04,53387.16,53387.16,33139.65900000001,20217.560999999994
2025-07-07,32533.763,32533.763,1801.93,55988.11,55988.11,32371.163,23454.347
2025-07-06,31489.27,31489.27,1309.41,57821.2,57821.20000000001,31419.997,26331.929999999997
2025-07-05,35699.176,35699.176,1231.1299999999999,62300.840000000004,62300.84,35684.41,26601.664000000004
2025-07-04,40569.357,40569.357,1823.0000000000002,67906.41,67906.41,40364.112,27337.053
2025-07-03,44326.028000000006,44326.028000000006,1571.29,66315.37999999999,66315.37999999999,44148.555,21989.351999999984
2025-07-02,42851.75300000001,42851.75300000001,1840.94,62939.32000000001,62939.32000000001,42773.689,20087.566999999995
2025-07-01,29458.091000000004,29458.091000000004,2965.7699999999995,47959.82,47959.82,29415.271999999997,18501.728999999996
2025-06-30,24957.454,24957.454,2374.8100000000004,41874.490000000005,41874.490000000005,24839.561,16917.036000000004
2025-06-29,26559.034,26559.034,1989.1,45901.31999999999,45901.32,26532.361,19342.285999999993
2025-06-28,34944.149,34944.149,2582.2000000000003,56336.55,56336.549999999996,34831.593,21392.401000000005
2025-06-27,47397.19,47397.19,2145.4900000000002,78038.92,78038.91999999998,47247.926,30641.729999999996
2025-06-26,57431.845,57431.845,1773.85,93082.34,93082.34,57267.11,35650.494999999995
2025-06-25,31035.93,31035.93,3268.03,49315.78,49315.78,31018.596,18279.85
2025-06-24,30606.355,30606.355,1231.62,49924.799999999996,49924.799999999996,30528.583,19318.444999999996
2025-06-23,34465.204,34465.204,1162.2000000000003,55151.21000000001,55151.21000000001,34308.563,20686.00600000001
2025-06-22,30467.305,30467.305,2029.22,48046.52999999999,48046.53,30354.773,17579.22499999999
2025-06-21,31527.627,31527.627,1666.84,49852.58,49852.579999999994,31504.804999999997,18324.953
2025-06-20,35857.761000000006,35857.761000000006,2005.8000000000002,54343.67,54343.67,35827.811,18485.908999999992
2025-06-19,39393.113,39393.113,2094.36,60375.65000000001,60375.649999999994,39180.568,20982.53700000001
2025-06-18,31016.545000000002,31016.545000000002,1891.5599999999997,51408.27,51408.270000000004,30891.187,20391.724999999995
2025-06-17,35435.39000000001,35435.39000000001,1782.5900000000004,55569.59,55569.59,35330.186,20134.19999999999
2025-06-16,35126.902,35126.902,2301.01,60137.49,60137.490000000005,35018.448000000004,25010.587999999996
2025-06-15,33937.163,33937.163,2318.5600000000004,57536.37,57536.369999999995,33854.242999999995,23599.207000000002
2025-06-14,39448.865,39448.865,1592.4,68299.56,68299.56000000001,39383.984000000004,28850.695
2025-06-13,41638.263999999996,41638.263999999996,1164.7,70514.28,70514.28,41457.42,28876.016000000003
2025-06-12,39606.019,39606.019,1414.91,61823.95,61823.950000000004,39429.592,22217.930999999997
2025-06-11,35653.058999999994,35653.058999999994,1808.44,53876.11,53876.11,35603.119,18223.051000000007
2025-06-10,37643.386000000006,37643.386000000006,1788.9699999999998,56818.37000000001,56818.369999999995,37496.887,19174.984000000004
2025-06-09,33625.96,33625.96,1116.3600000000001,53112.32,53112.31999999999,33397.509,19486.36
2025-06-08,31567.37,31567.37,1749.23,48198.4,48198.4,31510.798,16631.030000000002
2025-06-07,30017.563,30017.563,1566.6200000000001,47954.22,47954.22,29924.873,17936.657000000003
2025-06-06,36027.077,36027.077,1213.4,56576.32000000001,56576.32,35952.751,20549.24300000001
2025-06-05,40638.35999999999,40638.35999999999,2304.44,60066.36000000001,60066.35999999999,40466.827000000005,19428.000000000015
2025-06-04,37262.16199999999,37262.16199999999,1958.0200000000002,57246.66,57246.659999999996,37208.542,19984.498000000014
2025-06-03,44138.53999999999,44138.53999999999,1475.41,68644.39,68644.39,43994.512,24505.850000000006
2025-06-02,42516.026999999995,42516.026999999995,1062.03,63549.3,63549.3,42416.127,21033.27300000001
2025-06-01,29593.129,29593.129,2007.3999999999999,47631.19,47631.19,29450.619000000002,18038.061
2025-05-31,35665.875,35665.875,1697.2200000000003,57314.75000000001,57314.75,35615.935,21648.875000000007
2025-05-30,45783.491,45783.491,1446.3799999999999,76104.24,76104.24,45576.048,30320.749000000003
2025-05-29,46454.874,46454.874,689.26,80328.45999999999,80328.45999999999,46422.875,33873.58599999999
2025-05-28,30001.657,30001.657,1144.03,48975.170000000006,48975.170000000006,29861.050000000003,18973.513000000006
2025-05-27,29505.044,29505.044,1863.1599999999999,48958.810000000005,48958.81,29400.576,19453.766000000003
2025-05-26,32180.332000000002,32180.332000000002,2137.14,55587.630000000005,55587.630000000005,32068.309999999998,23407.298000000003
2025-05-25,31075.181000000004,31075.181000000004,2796.1200000000003,56750.35,56750.350000000006,31070.121,25675.168999999994
2025-05-24,32372.356000000003,32372.356000000003,1975.0800000000002,61357.42,61357.420000000006,32317.724000000002,28985.063999999995
2025-05-23,37376.929,37376.929,1438.5900000000001,67054.14,67054.14,37322.505999999994,29677.211000000003
2025-05-22,41588.899000000005,41588.899000000005,1364.12,62510.979999999996,62510.98,41443.303,20922.08099999999
2025-05-21,39751.125,39751.125,1300.41,61944.05,61944.05,39573.941,22192.925000000003
2025-05-20,27590.812,27590.812,1944.87,46800.850000000006,46800.850000000006,27579.505000000005,19210.038000000004
2025-05-19,28040.283,28040.283,2052.1000000000004,47325.2,47325.200000000004,27957.567,19284.916999999998
2025-05-18,31034.966,31034.966,1504.7,53934.63,53934.63,30871.743000000002,22899.663999999997
2025-05-17,34426.517,34426.517,1899.7499999999998,58106.13,58106.130000000005,34350.773,23679.612999999998
2025-05-16,34732.432,34732.432,1620.91,56339.63999999999,56339.64,34627.599,21607.20799999999
2025-05-15,36151.124,36151.124,1853.76,56092.49999999999,56092.49999999999,36100.164000000004,19941.37599999999
2025-05-14,30294.611999999994,30294.611999999994,2058.3099999999995,50965.29000000001,50965.29,30186.131,20670.678000000014
2025-05-13,34826.122,34826.122,1653.7499999999998,54243.58,54243.58,34661.799,19417.458
2025-05-12,37234.105,37234.105,1470.72,60817.33,60817.33,37207.326,23583.225
2025-05-11,31988.063000000002,31988.063000000002,2555.7400000000007,57972.16,57972.159999999996,31815.333999999995,25984.097
2025-05-10,34507.011,34507.011,1882.1899999999998,63041.32000000001,63041.32,34319.005,28534.30900000001
2025-05-09,42830.43699999999,42830.43699999999,1650.79,73512.28,73512.28,42751.668,30681.843000000008
2025-05-08,45251.219000000005,45251.219000000005,1228.93,71585.40000000001,71585.4,44943.796,26334.181000000004
2025-05-07,33660.151,33660.151,2687.92,52204.479999999996,52204.479999999996,33438.937,18544.328999999998
2025-05-06,34836.905000000006,34836.905000000006,1826.2200000000003,53825.83,53825.83,34810.954999999994,18988.924999999996
