DATE,EXEC_SPEND,BIZ_SPEND,PLAT_SPEND,MMM_SPEND,DESKTOP_SPEND_DELTA,ADJUST_VS_UNIFIED_DELTA
2025-12-08,20990.5608,20990.5608,26276.885696999998,27632.463807,5286.324896999999,-6641.903007000001
2025-12-07,21942.6255,21942.6255,27524.619207,28932.481749,5581.993707000001,-6989.856249
2025-12-06,21879.487999999998,21879.487999999998,27276.394965999996,28564.263368,5396.906965999999,-6684.775368000002
2025-12-05,21381.351700000003,21381.3517,26414.785458,27566.803907999998,5033.433757999996,-6185.452207999995
2025-12-04,20494.7957,20494.7957,25510.562831,26198.338566,5015.7671310000005,-5703.542866
2025-12-03,20600.8728,20600.872799999997,26175.160331,26711.293805,5574.287530999998,-6110.421005
2025-12-02,20702.939199999997,20702.9392,26677.787301000004,27228.916688,5974.848101000007,-6525.977488000004
2025-12-01,20367.2186,20367.2186,26090.677876,26582.534285,5723.459276000001,-6215.315685000001
2025-11-30,19518.538300000004,19518.5383,24322.254487000002,24759.163078999998,4803.716186999998,-5240.624778999994
2025-11-29,20233.8311,20233.8311,26161.919626,26717.362524,5928.088526,-6483.531424000001
2025-11-28,19794.852499999997,19794.8525,25087.25395,25532.103059,5292.401450000001,-5737.250559000004
2025-11-27,19844.1369,19844.136899999998,24995.366037,25404.703549,5151.229136999998,-5560.566649
2025-11-26,19060.6905,19060.6905,23927.837099,24401.925308,4867.146599,-5341.234808000001
2025-11-25,18830.2027,18830.2027,23690.85596,24106.681293999998,4860.653259999999,-5276.4785939999965
2025-11-24,19679.2422,19679.2422,24866.947282,25285.953832,5187.705082,-5606.711631999999
2025-11-23,19773.3043,19773.3043,24892.754070000003,25394.841285,5119.449770000003,-5621.536984999999
2025-11-22,19777.616899999997,19777.6169,25417.057041,25860.685601999998,5639.440141000003,-6083.0687020000005
2025-11-21,19935.5648,19935.5648,25985.536358999998,26423.701502,6049.971558999998,-6488.136702
2025-11-20,19446.9368,19446.9368,25201.79413,25793.499653,5754.857329999999,-6346.562852999999
2025-11-19,20082.4837,20082.4837,25470.618227,25872.119281,5388.134526999998,-5789.635580999999
2025-11-18,20196.1685,20196.168500000003,25561.333357,26130.883572,5365.164857,-5934.715071999999
2025-11-17,19781.192000000003,19781.192000000003,25142.338432000004,25638.132177,5361.146432000001,-5856.940176999997
2025-11-16,21264.155600000002,21264.155600000002,27271.449679999998,27765.635987999998,6007.294079999996,-6501.480387999996
2025-11-15,19477.6102,19477.6102,24678.240619999997,25118.523788000002,5200.630419999998,-5640.913588000003
2025-11-14,20229.4322,20229.4322,26007.292792,26521.878237,5777.860592000001,-6292.4460370000015
2025-11-13,19390.7468,19390.746799999997,24607.300155999998,25019.9153,5216.553355999997,-5629.1685
2025-11-12,19353.978600000002,19353.9786,24285.319255,24692.049768,4931.340654999996,-5338.071167999999
2025-11-11,19864.9836,19864.9836,25216.228730000003,25792.983577,5351.245130000003,-5927.9999769999995
