DATE,EXEC_API_INSTALLS,EXEC_SKAN,EXEC_TOTAL,EXEC_ATTRIBUTION,MMM_S3_SKAN,MMM_API,BIZ_INSTALLS
2025-06-26,8020,1302,9322,5956,6075,8006,8020
2025-06-25,8527,1263,9790,6318,6342,8510,8527
2025-06-24,8400,1801,10201,6104,6603,8378,8400
2025-06-23,8218,1841,10059,6159,6587,8196,8218
2025-06-22,8916,1843,10759,6615,6914,8899,8916
2025-06-21,8604,1273,9877,6274,6258,8587,8604
2025-06-20,8566,1291,9857,6195,6249,8554,8566
2025-06-19,9182,1348,10530,6719,6353,9156,9182
2025-06-18,9441,1456,10897,6856,6640,9419,9441
2025-06-17,9301,1718,11019,6747,7109,9274,9301
2025-06-16,9701,1608,11309,7040,7341,9676,9701
2025-06-15,11408,1470,12878,8523,8082,11380,11408
2025-06-14,10523,1358,11881,7565,7520,10493,10523
2025-06-13,8774,1291,10065,6642,6527,8752,8774
2025-06-12,9222,1216,10438,6364,6319,9194,9222
2025-06-11,8942,1368,10310,6294,6478,8922,8942
2025-06-10,9100,1454,10554,6398,6675,9078,9100
2025-06-09,9848,1434,11282,6899,7122,9828,9848
2025-06-08,10799,1426,12225,7626,7178,10784,10799
2025-06-07,10641,1312,11953,7383,7112,10621,10641
2025-06-06,9595,1341,10936,6694,6469,9578,9595
2025-06-05,9538,1339,10877,6781,6498,9523,9538
2025-06-04,9802,1394,11196,7114,6646,9790,9802
2025-06-03,9400,1316,10716,6573,6310,9389,9400
2025-06-02,9783,1173,10956,6750,6191,9762,9783
2025-06-01,10194,1367,11561,7239,6796,10177,10194
2025-05-31,9633,1236,10869,6305,5897,9609,9633
2025-05-30,10518,1234,11752,7105,7076,10498,10518
2025-05-29,7340,1493,8833,3384,4246,7325,7340
2025-05-28,7769,1741,9510,2991,5134,7748,7769
2025-05-27,10203,1985,12188,7420,7783,10183,10203
2025-05-26,10983,1618,12601,8247,8081,10968,10983
